symbol,timeframe,model_type,total_trades,winning_trades,losing_trades,win_rate,total_pnl,return_pct,max_drawdown,avg_win,avg_loss,profit_factor,final_balance,confidence_threshold,funded_account_ready
USDJPY,5T,gb,4044,2334,1710,0.5771513353115727,42957.999999999454,429.57999999999083,2.9470476990964176,35.43644672950586,23.246003898635802,2.0806862777982467,52957.99999999908,0.6,True
USDJPY,15T,gb,3758,2470,1288,0.6572645023948909,66882.50000000048,668.8250000000033,1.544739143106857,39.334817813765326,23.50504658385083,3.2092024641199943,76882.50000000033,0.6,True
USDJPY,30T,gb,112,42,70,0.375,-583.1999999999957,-5.831999999999971,6.240790154924232,22.742857142856142,21.977142857142194,0.6209048361934391,9416.800000000003,0.58,False
EURUSD,5T,gb,72,7,65,0.09722222222222222,-615.3333333333551,-6.153333333333594,6.153333333333594,5.333333333332968,10.041025641025936,0.05720122574054599,9384.66666666664,0.6,False
EURUSD,15T,gb,228,74,154,0.32456140350877194,-548.4999999999254,-5.484999999999454,6.053377068733616,9.00675675675765,7.889610389610334,0.5485596707819512,9451.500000000055,0.6,False
EURUSD,30T,gb,3649,1923,1726,0.5269936969032611,15147.2000000003,151.4720000000025,3.3952965902090333,20.260426417056745,13.796987253765831,1.6360735042160952,25147.20000000025,0.58,True
GBPUSD,5T,gb,146,42,104,0.2876712328767123,-595.333333333244,-5.9533333333323935,6.103567625132353,8.968253968255212,9.34615384615349,0.3875171467764746,9404.66666666676,0.6,False
GBPUSD,15T,gb,269,105,164,0.3903345724907063,-605.9999999999586,-6.059999999999728,6.059999999999728,7.971428571428621,8.79878048780466,0.5800415800415981,9394.000000000027,0.6,False
GBPUSD,30T,gb,3610,2077,1533,0.5753462603878117,24188.800000000185,241.8880000000017,2.8277634961438554,24.03755416466067,16.788780169602102,1.9398380554217307,34188.80000000017,0.58,True
AUDUSD,15T,gb,282,119,163,0.4219858156028369,-340.49999999999886,-3.4050000000000913,6.022279515493644,11.03781512605054,10.147239263803758,0.7941354292623969,9659.49999999999,0.6,False
AUDUSD,30T,gb,248,104,144,0.41935483870967744,-473.6000000000038,-4.736000000000094,6.032748076543791,12.438461538461524,12.27222222222224,0.732005432322316,9526.39999999999,0.58,False
USDCAD,5T,gb,128,37,91,0.2890625,-482.66666666662695,-4.826666666666206,6.109832292008764,11.44144144144211,9.956043956043793,0.46725533480503867,9517.33333333338,0.6,False
USDCAD,15T,gb,136,37,99,0.27205882352941174,-587.500000000024,-5.8750000000003455,6.090990721341278,10.513513513512876,9.863636363636365,0.3983614951356645,9412.499999999965,0.6,False
USDCAD,30T,gb,793,361,432,0.4552332912988651,-312.8000000000831,-3.1280000000007386,6.044382371197284,12.636011080332482,11.283333333333585,0.9358279993434934,9687.199999999926,0.58,False
NZDUSD,15T,gb,1880,873,1007,0.4643617021276596,379.9999999999747,3.7999999999994,6.050595103407844,13.194158075601433,11.061072492552213,1.0341159042959078,10379.99999999994,0.6,False
NZDUSD,30T,gb,3584,1854,1730,0.5172991071428571,7274.399999999973,72.74399999999966,2.9688385269120294,15.638619201725994,12.554682080924866,1.3349232950883057,17274.399999999965,0.58,True
XAUUSD,15T,gb,3785,2400,1385,0.6340819022457067,136653.00000000087,1366.53000000001,0.8682170542638817,81.68041666666717,42.873646209386536,3.301330414280904,146653.000000001,0.58,True
XAUUSD,30T,gb,3671,2089,1582,0.569054753473168,107682.00000000035,1076.8200000000027,1.7783149171271002,85.2661560555291,44.525284450063175,2.528726983631233,117682.00000000026,0.58,True
XAGUSD,15T,gb,3596,1748,1848,0.4860956618464961,1533.3800000000042,15.333800000000156,3.475718283427535,4.15201372997712,3.0975865800865803,1.2678701824140435,11533.380000000016,0.58,True
XAGUSD,30T,gb,2937,1417,1520,0.4824651004426285,1191.5200000000086,11.915200000000041,6.055058193463301,5.572829922371216,4.411302631578951,1.1777014189029984,11191.520000000004,0.58,False
